S-18B Kaldi 9 0.7 S: 5, I: 2, D: 0
S-18B Google 10 0.32432432432432434 S: 8, I: 0, D: 16
S-18B Kaldi 10 0.33783783783783783 S: 18, I: 5, D: 2
S-18B Google 11 0.37267080745341613 S: 34, I: 1, D: 25
S-18B Kaldi 11 0.2608695652173913 S: 24, I: 8, D: 10
S-26B Google 0 0.40229885057471265 S: 13, I: 0, D: 22
S-26B Kaldi 0 0.27586206896551724 S: 17, I: 2, D: 5
S-26B Google 1 0.3815261044176707 S: 38, I: 0, D: 57
S-26B Kaldi 1 0.285140562248996 S: 47, I: 9, D: 15
S-26B Google 2 0.4157706093189964 S: 67, I: 3, D: 46
S-26B Kaldi 2 0.25448028673835127 S: 47, I: 10, D: 14
S-26B Google 3 0.5034965034965035 S: 32, I: 2, D: 38
S-26B Kaldi 3 0.3706293706293706 S: 36, I: 4, D: 13
S-26B Google 4 0.39862542955326463 S: 58, I: 4, D: 54
S-26B Kaldi 4 0.2268041237113402 S: 40, I: 3, D: 23
S-26B Google 5 0.5238095238095238 S: 117, I: 2, D: 90
S-26B Kaldi 5 0.41604010025062654 S: 102, I: 6, D: 58
S-26B Google 6 0.3388888888888889 S: 18, I: 1, D: 42
S-26B Kaldi 6 0.26666666666666666 S: 33, I: 2, D: 13
S-26B Google 7 0.31313131313131315 S: 16, I: 0, D: 15
S-26B Kaldi 7 0.30303030303030304 S: 25, I: 3, D: 2
S-26B Google 8 0.34210526315789475 S: 20, I: 3, D: 16
S-26B Kaldi 8 0.24561403508771928 S: 13, I: 5, D: 10
S-26B Google 9 0.39285714285714285 S: 8, I: 0, D: 3
S-26B Kaldi 9 0.39285714285714285 S: 8, I: 1, D: 2
S-26B Google 10 0.5869565217391305 S: 33, I: 2, D: 19
S-26B Kaldi 10 0.40217391304347827 S: 27, I: 1, D: 9
S-26B Google 11 0.625 S: 0, I: 0, D: 5
S-26B Kaldi 11 0.375 S: 2, I: 0, D: 1
S-30B Google 0 0.45414847161572053 S: 35, I: 2, D: 67
S-30B Kaldi 0 0.3406113537117904 S: 51, I: 5, D: 22
S-30B Google 1 0.4294478527607362 S: 13, I: 1, D: 56
S-30B Kaldi 1 0.3312883435582822 S: 40, I: 6, D: 8
S-30B Google 2 0.2598684210526316 S: 22, I: 1, D: 56
S-30B Kaldi 2 0.19407894736842105 S: 41, I: 5, D: 13
S-30B Google 3 0.28063241106719367 S: 24, I: 1, D: 46
